delivery_hour,price,supply_mwh,demand_mwh,source_endpoint
2026-06-01 00:00:00+03:00,169.0,14282.49,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,169.01,14282.49,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,169.8,14282.51,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,169.9,14411.52,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,169.91,14473.52,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,169.99,14473.52,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.0,14510.02,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.01,14529.13,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.02,14529.13,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.03,14529.14,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.04,14529.15,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.06,14529.16,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.07,14529.17,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.08,14529.18,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.09,14529.19,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.1,14529.19,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,170.99,14529.85,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,171.0,14540.16,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,171.01,14836.16,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,172.0,14836.89,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,172.01,14836.9,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
2026-06-01 00:00:00+03:00,174.99,14839.09,,https://seffaflik.epias.com.tr/electricity-service/v1/markets/dam/data/supply-demand-chart-data
