date,hour,systemMarginalPrice
2020-01-05T14:00:00+03:00,2020-01-05T14:00:00+03:00,364.17
2020-01-05T15:00:00+03:00,2020-01-05T15:00:00+03:00,373.09
2020-01-05T16:00:00+03:00,2020-01-05T16:00:00+03:00,383.0
2020-01-05T17:00:00+03:00,2020-01-05T17:00:00+03:00,362.16
2020-01-05T18:00:00+03:00,2020-01-05T18:00:00+03:00,361.93
2020-01-05T19:00:00+03:00,2020-01-05T19:00:00+03:00,361.26
2020-01-05T20:00:00+03:00,2020-01-05T20:00:00+03:00,371.73
2020-01-05T21:00:00+03:00,2020-01-05T21:00:00+03:00,369.0
2020-01-05T22:00:00+03:00,2020-01-05T22:00:00+03:00,320.0
2020-01-05T23:00:00+03:00,2020-01-05T23:00:00+03:00,230.0
2020-01-06T00:00:00+03:00,2020-01-06T00:00:00+03:00,313.7
2020-01-06T01:00:00+03:00,2020-01-06T01:00:00+03:00,340.0
2020-01-06T02:00:00+03:00,2020-01-06T02:00:00+03:00,195.0
2020-01-06T03:00:00+03:00,2020-01-06T03:00:00+03:00,174.13
2020-01-06T04:00:00+03:00,2020-01-06T04:00:00+03:00,172.18
2020-01-06T05:00:00+03:00,2020-01-06T05:00:00+03:00,178.06
2020-01-06T06:00:00+03:00,2020-01-06T06:00:00+03:00,200.0
2020-01-06T07:00:00+03:00,2020-01-06T07:00:00+03:00,378.79
2020-01-06T08:00:00+03:00,2020-01-06T08:00:00+03:00,401.0
2020-01-06T09:00:00+03:00,2020-01-06T09:00:00+03:00,400.85
2020-01-06T10:00:00+03:00,2020-01-06T10:00:00+03:00,401.93
2020-01-06T11:00:00+03:00,2020-01-06T11:00:00+03:00,403.5
2020-01-06T12:00:00+03:00,2020-01-06T12:00:00+03:00,403.53
2020-01-06T13:00:00+03:00,2020-01-06T13:00:00+03:00,403.54
2020-01-06T14:00:00+03:00,2020-01-06T14:00:00+03:00,404.0
2020-01-06T15:00:00+03:00,2020-01-06T15:00:00+03:00,404.0
2020-01-06T16:00:00+03:00,2020-01-06T16:00:00+03:00,403.53
2020-01-06T17:00:00+03:00,2020-01-06T17:00:00+03:00,403.5
2020-01-06T18:00:00+03:00,2020-01-06T18:00:00+03:00,403.5
2020-01-06T19:00:00+03:00,2020-01-06T19:00:00+03:00,402.33
2020-01-06T20:00:00+03:00,2020-01-06T20:00:00+03:00,401.93
2020-01-06T21:00:00+03:00,2020-01-06T21:00:00+03:00,401.95
2020-01-06T22:00:00+03:00,2020-01-06T22:00:00+03:00,397.0
2020-01-06T23:00:00+03:00,2020-01-06T23:00:00+03:00,339.99
2020-01-07T00:00:00+03:00,2020-01-07T00:00:00+03:00,309.0
2020-01-07T01:00:00+03:00,2020-01-07T01:00:00+03:00,349.0
2020-01-07T02:00:00+03:00,2020-01-07T02:00:00+03:00,323.0
2020-01-07T03:00:00+03:00,2020-01-07T03:00:00+03:00,270.0
2020-01-07T04:00:00+03:00,2020-01-07T04:00:00+03:00,248.0
2020-01-07T05:00:00+03:00,2020-01-07T05:00:00+03:00,275.01
2020-01-07T06:00:00+03:00,2020-01-07T06:00:00+03:00,300.0
2020-01-07T07:00:00+03:00,2020-01-07T07:00:00+03:00,360.0
2020-01-07T08:00:00+03:00,2020-01-07T08:00:00+03:00,366.95
2020-01-07T09:00:00+03:00,2020-01-07T09:00:00+03:00,389.0
2020-01-07T10:00:00+03:00,2020-01-07T10:00:00+03:00,374.0
2020-01-07T11:00:00+03:00,2020-01-07T11:00:00+03:00,384.0
2020-01-07T12:00:00+03:00,2020-01-07T12:00:00+03:00,372.79
2020-01-07T13:00:00+03:00,2020-01-07T13:00:00+03:00,374.19
2020-01-07T14:00:00+03:00,2020-01-07T14:00:00+03:00,370.34
2020-01-07T15:00:00+03:00,2020-01-07T15:00:00+03:00,375.0
2020-01-07T16:00:00+03:00,2020-01-07T16:00:00+03:00,392.24
2020-01-07T17:00:00+03:00,2020-01-07T17:00:00+03:00,385.06
2020-01-07T18:00:00+03:00,2020-01-07T18:00:00+03:00,372.0
2020-01-07T19:00:00+03:00,2020-01-07T19:00:00+03:00,368.41
2020-01-07T20:00:00+03:00,2020-01-07T20:00:00+03:00,339.41
2020-01-07T21:00:00+03:00,2020-01-07T21:00:00+03:00,340.0
2020-01-07T22:00:00+03:00,2020-01-07T22:00:00+03:00,346.79
2020-01-07T23:00:00+03:00,2020-01-07T23:00:00+03:00,292.02
2020-01-08T00:00:00+03:00,2020-01-08T00:00:00+03:00,331.27
2020-01-08T01:00:00+03:00,2020-01-08T01:00:00+03:00,356.0
2020-01-08T02:00:00+03:00,2020-01-08T02:00:00+03:00,290.8
