delivery_hour,mcpPrice,matchingQuantity,reconstructed_clearing_price,reconstructed_clearing_volume,reconstruction_price_error,reconstruction_volume_error,slope_near_clearing,elasticity_near_clearing,curve_fragility_score,volume_needed_for_100TL_move,volume_needed_for_500TL_move,oversupply_pressure,cap_risk_score,zero_pressure_from_curve,spike_pressure_from_curve,supply_points,demand_points,status,supply_status,ptf_status,raw_dir
2026-05-18T10:00:00+03:00,8.01,18047.999999999996,8.005264112903225,18039.461868228642,-0.00473588709677486,-8.538131771354529,208.9052631578957,0.0,208.9052631578957,617.800000000032,4112.897407623652,0.0,0.0,0.0,0.0,462,141,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T11:00:00+03:00,99.0,18824.399999999994,99.000829368807,18821.10103772928,0.0008293688070040162,-3.298962270713673,16500.49999999166,0.0,16500.49999999166,1355.9253083237782,4154.960433174827,0.0,0.0,0.0,0.0,461,139,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T12:00:00+03:00,0.0,17771.50000000002,0.0,18234.449999999997,0.0,462.9499999999789,0.0,59.99999999985448,59.99999999985448,1007.1000000000022,4236.640000000003,0.05074460704874561,0.0,0.7507446070494732,0.0,475,140,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T13:00:00+03:00,1.99,18370.799999999996,1.9902805519053877,18366.234170486503,0.0002805519053876715,-4.565829513492645,153.79797979798187,0.0,153.79797979798187,991.5710560711159,4479.202146874606,0.0,0.0,0.22181460278340903,0.0,476,140,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T14:00:00+03:00,169.91,18804.499999999993,169.90564266666667,18839.50453333335,-0.004357333333331326,35.00453333335827,688.8888888888628,2676.666666666541,3365.5555555554038,2009.9118480062862,3605.7723663542965,0.0,0.0,0.0,0.0,500,143,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T15:00:00+03:00,170.99,18495.699999999986,170.9944237275393,18495.765774753745,0.004423727539290212,0.06577475375888753,42.36956521739536,103.15217391304647,145.52173913044183,1555.5787868014813,2991.5461333381863,8.261085902504963e-15,0.0,0.0,0.0,500,231,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T16:00:00+03:00,249.99,19310.4,249.99306773588125,19310.473745094692,0.003067735881245426,0.07374509469082113,0.9849999999987631,29.68500000000131,30.670000000000073,652.1743286128622,1447.2377700051184,0.0,0.0,0.0,0.0,557,236,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T17:00:00+03:00,799.01,19855.999999999985,799.0062022321429,19855.97151785727,-0.0037977678571223805,-0.028482142715802183,187.909090909088,38.393939393941096,226.30303030302912,165.94848214253943,331.10295801789107,1.905471085095348e-14,0.0,0.0,0.0,541,259,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T18:00:00+03:00,2700.0,20300.99999999998,2699.99176,20295.307703220315,-0.008240000000114378,-5.692296779667231,10.085000000000946,0.0,10.085000000000946,21.89999999986685,107.57999999986714,0.0,0.0,0.0,0.024203833799202268,579,261,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T19:00:00+03:00,4300.0,28162.90000000001,4250.589999999994,28085.954382280885,-49.41000000000622,-76.94561771912413,1.2899064817800618,0.0,1.2899064817800618,769.696551724137,832.7000000000007,0.0,0.9382374999999922,0.0,0.0064495324089003095,350,249,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T20:00:00+03:00,4300.01,28397.99999999999,4300.007829931034,28379.000542480695,-0.002170068965824612,-18.999457519294083,17.304761904761886,0.0,17.304761904761886,225.76748512099584,261.30000001884764,0.0,1.0,0.0,0.08652380952380943,416,318,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T21:00:00+03:00,4300.0,27796.899999999998,4300.000496551724,27713.404751232734,0.0004965517236996675,-83.49524876726355,2900.040000000008,0.0,2900.040000000008,721.4827586510037,769.4000000325577,0.0,1.0,0.0,1.0,389,432,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T22:00:00+03:00,2954.44,24715.399999999994,2834.247500000012,24710.410472570067,-120.19249999998783,-4.989527429926966,0.37948989497837654,0.1853322742917653,0.5648221692701418,7.384504480123724,201.61692773033064,0.0,0.0,0.0,0.001507225134586541,529,280,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-18T23:00:00+03:00,2100.0,23712.40000000001,2083.046251768036,23709.118595236647,-16.9537482319638,-3.281404763361934,0.6747778065406751,0.0,0.6747778065406751,65.46761412073829,291.0178652906725,0.0,0.0,0.0,0.0007868533417595954,454,273,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-18
2026-05-19T00:00:00+03:00,325.0,16744.699999999993,324.9946046511628,16736.41077674416,-0.005395348837225811,-8.289223255833349,5.577499999999418,0.0,5.577499999999418,362.59692080495734,1041.3103028664627,0.0,0.0,0.0,0.0,403,210,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T01:00:00+03:00,300.01,16752.1,300.0097254255903,16753.598462383285,-0.0002745744096728231,1.4984623832860962,39.1204013377917,21.939799331103124,61.06020066889482,541.7696155959202,1213.8445908842114,0.0,0.0,0.0,0.0,368,209,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T02:00:00+03:00,252.01,16706.600000000006,250.5370810810811,16700.406913598934,-1.4729189189188787,-6.193086401071923,12.405000000000655,48.54999999999927,60.95499999999993,590.6983873873869,1233.904324324325,0.0,0.0,0.0,0.0,391,208,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T03:00:00+03:00,299.99,16544.299999999996,252.0016985845129,16518.852156975936,-47.988301415487115,-25.447843024059694,7.204999999999927,26.30000000000109,33.50500000000102,602.3887152146599,1252.9000000000124,0.0,0.0,0.0,0.0,391,208,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T04:00:00+03:00,240.01,16529.50000000001,236.99716460513795,16529.230989158998,-3.012835394862037,-0.2690108410133689,3.7840531561459976,0.0,3.7840531561459976,560.7309343302986,1292.2000000000116,0.0,0.0,0.0,0.0,392,207,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
